failed_PkNr_Analysis,failed_PkNr_Identifier1,failed_PkNr_NumPeaks
2434,H1,4
2431,L1,5
2432,L3,5
2433,L5,5
2524,L1,14
2525,L3,15
2501,LW,14
2521,MGSO4_LWR,14
2499,NAHCO3_LWR,14
2510,NAHCO3_UPPER,19
2532,NACL_UPPER,15
2562,NaCl_LWR,5
2561,NaCl_UPPR,5
2559,NaHCO3_UPPER,22
2754,NaHCO3_L_+_NaCl_U,26
2743,NaHCO3_U_+_NaCl_L,24
2751,NaHCO3_U_+_NaCl_L,25
2761,NaHCO3_U_+_NaCl_L,22
2733,NaHCO3_U_+_NaCl_U,24
2736,NaHCO3_U_+_NaCl_U,22
2760,NaHCO3_U_+_NaCl_U,24
2767,H1-5mL,9
2773,H1-5mL,10
2779,H1-5mL,9
2768,L5-5mL,5
2774,L5-5mL,10
2780,L5-5mL,11
2775,MgSO4_L_+_NaCl_L-5mL,5
2776,MgSO4_L_+_NaCl_U-5mL,5
2777,MgSO4_L_+_NaHCO3_U-5mL,20
2770,NaHCO3_U_+_NaCl_L-5mL,23
2769,NaHCO3_U_+_NaCl_U-5mL,20
2827,H1_R_5ml,8
2829,H1_R_5ml,8
2838,H1_R_5ml,8
2828,L5_R_5ml,8
2837,L5_R_5ml,7
2839,L5_R_5ml,10
2835,MgSO4_L_+_NaCl_L_R_5ml,5
2830,MgSO4_L+NaCl_U_R_5ml,5
2831,NaHCO3_U_+_NaCl_L_R_5ml,24
2833,NaHCO3_U_+_NaCl_U_R_5ml,23
3057,H1,5
3045,H1_B,5
3066,H1_C,5
3080,H1_D,27
3043,L1,5
3064,L1_C,5
3055,L1B,5
3078,L1D,5
3044,LW,5
3056,LW_B,5
3065,LW_C,5
3079,LW_D,5
3048,MgSO4_L+NaHCO3_L,23
3049,NaHCO3_L,23
3058,NaHCO3_L_B,24
3053,NaHCO3_L+NaCl_L,24
3050,NaHCO3_L+NaCl_U,24
3059,NaHCO3_U,24
3071,NaHCO3_U_B,23
3062,NaHCO3_U+NaCl_L,24
3051,NaHCO3_U+NaCl_L_B,26
3076,NaHCO3_U+NaCl_U,23
3046,NaHCO3_U+NaCl_U_B,24
3146,H1,5
3158,H1,5
3157,L1,5
3137,NaHCO3_U_+_NaCl_L,24
3156,NaHCO3_U_+_NaCl_U,24
3148,NaHCO3_U,23
3151,NaHCO3_U,24
3169,H1,5
3179,L1,5
3170,LW,5
3163,MgSO4_L_+_NaCl_L,5
3166,MgSO4_L_+_NaCl_L,5
3162,MgSO4_L_+_NaCl_U,5
3175,MgSO4_L_+_NaCl_U,5
3172,MgSO4_L,8
3177,MgSO4_L,7
3178,NaCl_U,5
3171,NaHCO3_U,24
3244,MgSO4_L_+_NaHCO3_L,27
3249,MgSO4_L_+_NaHCO3_L,10
3251,MgSO4_L_+_NaHCO3_U,22
3237,MgSO4_L_+_NaHCO3_U,24
3245,NaHCO3_U_+_NaCl_L,25
3252,NaHCO3_U_+_NaCl_L,24
3243,NaHCO3_U_+_NaCl_U,7
3258,NaHCO3_U_+_NaCl_U,23
3254,NaHCO3_U,23
3235,NaHCO3_U,31
3271,MgSO4_L_+_NaHCO3_U,20
3270,NaHCO3_U_+_NaCl_L,25
3273,NaHCO3_U_+_NaCl_U,24
3266,NaHCO3_U,25
3352,H1,19
3353,L1,25
3375,L1,19
3354,Lw,19
3380,MgSO4_L_+_NaCl_L,19
3372,MgSO4_L_+_NaHCO3_U,22
3379,MgSO4_L_+_NaHCO3_U,23
3363,MgSO4_L,19
3368,Na2SO4_L_+_NaHCO3_U,23
3382,Na2SO4_L_+_NaHCO3_U,24
3365,Na2SO4_U,19
3367,NaCl_L,20
3381,NaCl_U,19
3364,NaHCO3_L_,19
3371,NaHCO3_L_+_NaCl_U,23
3357,NaHCO3_U_+_NaCl_L,23
3356,NaHCO3_U_+_NaCl_U,24
3377,NaHCO3_U_+_NaCl_U,22
3370,NaHCO3_U,23
3378,NaHCO3_U,23
3415,H1,20
3417,L1,24
3405,MgSO4_L_+_NaCl_L,19
3411,MgSO4_L_+_NaHCO3_L,20
