failed_sampIso_Analysis,failed_sampIso_Identifier1,failed_sampIsoSD_d18O16O,failed_sampIsoSD_d13C12C,failed_sampIsoSD_reason
2497,NAHCO3_UPPER,0.399674656917983,0.18846066634902,d18O16O
2498,NAHCO3_UPPER,0.526232717043304,0.103602292119792,d18O16O
2537,NAHCO3_UPPER,0.392621324239106,0.350607651735495,d13C12C_d18O16O
2560,NaHCO3_LWR,0.102874676653384,0.639515014534481,d13C12C
2778,MgSO4_L_+_NaHCO3_L-5mL,0.077441181920571,0.397363481963499,d13C12C
2771,NaHCO3_L_+_NaCl_L-5mL,0.0393367122372842,0.48617904775705,d13C12C
2772,NaHCO3_L_+_NaCl_U-5mL,0.0890985267976782,0.394533443447488,d13C12C
2836,MgSO4_L_+_NaHCO3_L_R_5ml,0.0413851519524185,0.356771041951944,d13C12C
2834,NaHCO3_L_+_NaCl_L_R_5ml,0.0785908051919894,0.505939385580356,d13C12C
2832,NaHCO3_L_+_NaCl_U_R_5ml,0.0555488720267739,0.368216743544377,d13C12C
3052,MgSO4_L,0.376905953795091,0.312070620303334,d13C12C_d18O16O
3047,MgSO4_L_B,0.587133175329386,0.322342824121298,d13C12C_d18O16O
3068,MgSO4_L+NaCl_L_,0.684879953861179,0.287358304408417,d18O16O
3063,MgSO4_L+NaCl_L_B,0.454688251091977,0.429410634929146,d13C12C_d18O16O
3070,MgSO4_L+NaCl_U,0.514918246456483,0.369247759338102,d13C12C_d18O16O
3072,MgSO4_L+NaCl_U_B,0.693903147946939,0.486506472946168,d13C12C_d18O16O
3069,MgSO4_L+NaHCO3_U,0.046327517257222,0.307352323779778,d13C12C
3075,NACL_L,0.281648618434451,0.25213270847411,d18O16O
3061,NACL_L_B,0.667526235411846,0.71306415923435,d13C12C_d18O16O
3073,NACL_U,0.868520724238016,0.659760220348711,d13C12C_d18O16O
3054,NACL_U_B,0.433257337379539,0.229948415888343,d18O16O
3074,NaHCO3_L+NaCl_L_B_,0.157803055539016,0.524348749652172,d13C12C
3067,NaHCO3_L+NaCl_U_B,0.119628472292315,0.490156497514885,d13C12C
3168,NaHCO3_L_+_NaCl_L,0.107407751680916,0.567709856504881,d13C12C
3160,NaHCO3_L_+_NaCl_U,0.0793270247764796,0.413296471868622,d13C12C
3161,NaHCO3_L_+_NaCl_U,0.109995289770844,0.407218222152707,d13C12C
3167,NaHCO3_L_+_NaCl_U,0.0806194481809208,0.405404035583552,d13C12C
3164,NaHCO3_L,0.169382317250642,0.62967411409452,d13C12C
3374,H1,1.56834590672655,0.53098197777412,d13C12C_d18O16O
3373,Lw,0.685352262906165,0.080504903972212,d18O16O
3376,MgSO4_L_+_NaCl_U,1.14089531168448,0.396794749420358,d13C12C_d18O16O
3358,MgSO4_L_+_NaHCO3_L,0.436032095969274,0.209467084562901,d18O16O
3361,MgSO4_L,1.43229615778347,0.345139117718285,d13C12C_d18O16O
3359,Na2SO4_L_+_NaCl_L,1.36823492184293,0.270761918309264,d18O16O
3384,Na2SO4_L_+_NaCl_U,2.1490831354113,0.0854577954417102,d18O16O
3366,Na2SO4_L_+_NaHCO3_L,0.145713701760185,0.591053639551288,d13C12C
3360,Na2SO4_L,1.22188993221397,0.395461345978782,d13C12C_d18O16O
3369,NaHCO3_L_,0.720275902714336,2.07093490392838,d13C12C_d18O16O
3383,NaHCO3_L_+_NaCl_L,0.862313643749672,0.140902297353849,d18O16O
3355,NaHCO3_L_+_NaCl_U,0.846387214045777,0.108667239001661,d18O16O
