actual,pred,Analysis,trainTest,abiotic,biotic
biotic,biotic,2960,train,0.235166602547662,0.764833397452339
biotic,biotic,2961,train,0.343601258518954,0.656398741481047
biotic,biotic,2962,train,0.265079182041821,0.734920817958181
biotic,biotic,2963,train,0.419720904560262,0.580279095439737
biotic,biotic,2965,train,0.427139450521121,0.57286054947888
biotic,biotic,2966,train,0.308833354610834,0.691166645389165
biotic,biotic,2968,train,0.195934306243585,0.804065693756416
biotic,biotic,2970,train,0.425726640700256,0.574273359299744
biotic,biotic,2972,train,0.26193192932125,0.738068070678752
biotic,biotic,2973,train,0.297892297858741,0.702107702141259
biotic,biotic,2975,train,0.354546400982781,0.64545359901722
biotic,biotic,2977,train,0.274287546616655,0.725712453383345
biotic,biotic,2979,train,0.34121576974739,0.658784230252611
biotic,biotic,2981,train,0.339562004203675,0.660437995796325
biotic,biotic,2983,train,0.20402466367713,0.79597533632287
biotic,biotic,2985,train,0.339575058723041,0.66042494127696
biotic,biotic,2986,train,0.29136680392778,0.70863319607222
biotic,biotic,2987,train,0.235237502961384,0.764762497038617
biotic,biotic,2988,train,0.290031687351466,0.709968312648535
biotic,biotic,2989,train,0.245530931122449,0.754469068877552
biotic,biotic,2990,train,0.350883447326536,0.649116552673464
abiotic,abiotic,2992,train,0.809606427573358,0.190393572426642
abiotic,abiotic,2993,train,0.766882398971951,0.233117601028049
abiotic,abiotic,2995,train,0.824633657000975,0.175366342999025
abiotic,abiotic,2998,train,0.744826312299065,0.255173687700936
abiotic,abiotic,3231,train,0.765612119617644,0.234387880382356
abiotic,abiotic,3232,train,0.772929776409158,0.227070223590842
abiotic,abiotic,3233,train,0.829387435725463,0.170612564274536
abiotic,abiotic,3242,train,0.876181638208364,0.123818361791636
abiotic,abiotic,3250,train,0.875107439801317,0.124892560198683
abiotic,abiotic,3253,train,0.783547357643881,0.216452642356119
abiotic,abiotic,3255,train,0.588472331842498,0.411527668157502
abiotic,abiotic,3256,train,0.592923846720602,0.407076153279398
abiotic,abiotic,3257,train,0.955161987275531,0.0448380127244696
abiotic,abiotic,3259,train,0.873606214271205,0.126393785728795
abiotic,abiotic,3260,train,0.941374354954602,0.0586256450453981
