avg_d13C12C,avg_calib_d18O16O,biotic,pred
-11.96684183,-6.60157325789624,biotic,biotic
-10.9508220488889,-5.95720625248031,biotic,abiotic
-11.9216775244444,-6.65173557578918,biotic,biotic
-13.5663817422222,-3.66365417049865,biotic,biotic
-11.0984557555556,-5.80027647405,biotic,abiotic
-11.09186659,-3.72579385923096,biotic,biotic
-13.5696767455556,-3.79178303528136,biotic,abiotic
-13.7576544955556,-3.77381790790443,biotic,biotic
-11.9509188055556,-6.22151965891514,biotic,biotic
-13.3457517511111,-3.76604193186088,biotic,biotic
-11.5887532188889,-6.37524643331041,biotic,biotic
-11.9094940433333,-6.06818328268206,biotic,abiotic
-11.3548480177778,-5.73068674847088,biotic,abiotic
-13.6740059855556,-3.91727710797141,biotic,biotic
-13.7032258122222,-3.86275879268235,biotic,biotic
-11.3793742955556,-3.79784263629954,biotic,biotic
-11.26257598,-3.79881706011412,biotic,biotic
-13.74228158,-3.93635452423763,biotic,biotic
-11.5465919511111,-6.2614454570977,biotic,biotic
-10.3390775655556,-5.63586634751113,biotic,biotic
-13.6396812322222,-3.91201188293419,biotic,abiotic
-11.6328333,-5.93134208148599,abiotic,abiotic
-11.9435554822222,-5.8227882564505,abiotic,abiotic
-11.9772244633333,-5.81403476600558,abiotic,abiotic
-10.99595332,-3.31356948623517,abiotic,abiotic
-11.6663239122222,-5.88423964372682,abiotic,abiotic
-11.94201558,-5.87336358017397,abiotic,abiotic
-11.9132071366667,-5.79676552606244,abiotic,abiotic
-10.9572023466667,-3.25735946233347,abiotic,abiotic
-11.4776983711111,-5.63386609346866,abiotic,abiotic
-11.9155694511111,-5.82574277515386,abiotic,abiotic
-12.6112682111111,-3.83658314858066,abiotic,abiotic
-12.5436626533333,-3.80412392539781,abiotic,abiotic
-12.8425105255556,-4.07531668579691,abiotic,abiotic
-12.8629341011111,-4.14104581892315,abiotic,abiotic
-13.29435136,-3.58679472475806,abiotic,biotic
-13.6391286377778,-3.79255012758458,abiotic,biotic
-11.43668076,-5.90004503305934,abiotic,abiotic
-12.3595107522222,-4.22644692622967,abiotic,abiotic
-10.8529056511111,-3.64848477641137,abiotic,abiotic
-13.6549201588889,-3.94992497578586,abiotic,biotic
-11.0291228777778,-5.88891920226538,abiotic,biotic
-10.8085151355556,-3.71452069328453,abiotic,abiotic
-13.5814207988889,-3.84211443954679,abiotic,biotic
-12.3125902922222,-4.32457031085112,abiotic,abiotic
-13.5870289188889,-3.87678049887967,abiotic,abiotic
-13.57004513,-3.96888757958077,abiotic,abiotic
-13.6191854122222,-3.9497538249257,abiotic,abiotic
-10.8803509522222,-3.85178864981149,abiotic,abiotic
-11.67497735,-5.98839866041489,abiotic,abiotic
-12.8276289988889,-4.30893120550564,abiotic,abiotic
-12.8290384333333,-4.28439227812348,abiotic,abiotic
-13.23010514,-3.8575616554598,abiotic,abiotic
-13.9380087088889,-6.03766997300287,abiotic,abiotic
-13.5335501044444,-7.9768748849326,abiotic,abiotic
-13.2846818522222,-10.1686353268575,abiotic,abiotic
-13.9018757744444,-6.11698228733969,abiotic,abiotic
-13.7208484333333,-6.12338811321449,abiotic,abiotic
-13.44253789,-7.86573373799808,abiotic,abiotic
-13.1346127622222,-10.3082588080765,abiotic,abiotic
-12.7947493611111,-7.94117667500583,abiotic,abiotic
-13.6279809222222,-6.18026071859552,abiotic,abiotic
-13.6726681911111,-6.24861019520831,abiotic,abiotic
-13.6196433355556,-5.99570814991453,abiotic,abiotic
-13.4117764722222,-8.091729332851,abiotic,abiotic
-13.6661623811111,-6.86258686397189,abiotic,abiotic
-11.9948002655556,-3.633326456861,abiotic,abiotic
-12.2129438855556,-3.43363182878474,abiotic,abiotic
-13.3206457833333,-4.9228432953635,abiotic,abiotic
-12.9343480177778,-4.17740609891797,biotic,abiotic
