Analysis,avg_d13C12C,avg_d18O16O,biotic,pred
2960,-13.8290362166667,-4.28438680944444,biotic,biotic
2961,-11.96684183,-7.11552770011111,biotic,biotic
2962,-10.9508220488889,-6.48668720666667,biotic,abiotic
2963,-11.9216775244444,-7.16448131888889,biotic,biotic
2965,-13.5663817422222,-4.24840000255556,biotic,biotic
2966,-11.0984557555556,-6.33353877033333,biotic,biotic
2968,-11.09186659,-4.30904238833333,biotic,biotic
2970,-13.5696767455556,-4.37344150511111,biotic,biotic
2973,-13.7576544955556,-4.35590926111111,biotic,biotic
2975,-10.2737282127778,-6.32898826822222,biotic,biotic
2976,-11.9509188055556,-6.744631781,biotic,abiotic
2977,-13.3457517511111,-4.34832065311111,biotic,abiotic
2979,-11.2055678511111,-4.36074703544444,biotic,biotic
2983,-11.9094940433333,-6.59499016111111,biotic,abiotic
2985,-11.3102270755556,-4.37797049888889,biotic,biotic
2986,-13.6740059855556,-4.49591170288889,biotic,biotic
2989,-10.3650724955556,-6.237474006,biotic,biotic
2990,-11.26257598,-4.38030603977778,biotic,biotic
2992,-11.8644605866667,-6.58527538466667,biotic,abiotic
2993,-13.74228158,-4.51452943433333,biotic,biotic
2996,-11.8389821211111,-6.46572107111111,biotic,abiotic
2998,-10.3390775655556,-6.17309023055556,biotic,biotic
3001,-13.6396812322222,-4.49077334744444,biotic,biotic
3231,-10.9971480411111,-3.94336441688889,abiotic,abiotic
3232,-13.6706194344444,-4.03086514622222,abiotic,biotic
3234,-13.8909242133333,-3.998460305,abiotic,biotic
3240,-11.9224540866667,-6.64322977877778,abiotic,biotic
3241,-11.6328333,-6.70081539111111,abiotic,abiotic
3242,-11.9435554822222,-6.59131946311111,abiotic,biotic
3250,-11.9772244633333,-6.582490004,abiotic,biotic
3253,-10.99595332,-4.060324008,abiotic,abiotic
3255,-13.9277736444444,-4.25470889466667,abiotic,biotic
3256,-13.9307178944444,-4.16136086955556,abiotic,biotic
3257,-11.0114897066667,-4.09279323611111,abiotic,abiotic
3259,-11.6663239122222,-6.65330416677778,abiotic,abiotic
3260,-11.94201558,-6.64233371344444,abiotic,biotic
3261,-13.7067253755556,-4.07125141766667,abiotic,biotic
3267,-11.0068601133333,-4.04936813522222,abiotic,abiotic
3268,-13.7229123266667,-4.09709923344444,abiotic,biotic
3269,-13.9575394433333,-4.11349037433333,abiotic,biotic
3272,-11.4776983711111,-6.40075770677778,abiotic,abiotic
4922,-12.6112682111111,-4.587876734,abiotic,abiotic
4924,-11.7179595922222,-6.52845663088889,abiotic,abiotic
4925,-12.5436626533333,-4.55513580788889,abiotic,abiotic
4929,-12.8425105255556,-4.82868216111111,abiotic,abiotic
4932,-12.8629341011111,-4.89498173577778,abiotic,abiotic
4933,-11.6455319177778,-6.50575897211111,abiotic,abiotic
4934,-11.5652036833333,-6.44907000955556,abiotic,abiotic
