Analysis,fluctanal_prop_r1,motiftwo_entro3,avg_R45CO244CO2,avg_R13C12C,avg_d13C12C,biotic,pred
2962,0.469387755102041,0.55107658634389,0.0118597222222222,0.0110577675555556,-10.9508220488889,biotic,abiotic
2963,0.408163265306122,0.552896784080831,0.0118485856666667,0.0110469133333333,-11.9216775244444,biotic,biotic
2965,0.408163265306122,0.55107658634389,0.0118314116666667,0.0110285252222222,-13.5663817422222,biotic,biotic
2966,0.489795918367347,0.550345812791181,0.0118581355555556,0.0110561171111111,-11.0984557555556,biotic,biotic
2970,0.408163265306122,0.551441394903152,0.0118313226666667,0.0110284884444444,-13.5696767455556,biotic,abiotic
2972,0.408163265306122,0.553259672181557,0.0118511665555556,0.0110493507777778,-11.7036672,biotic,abiotic
2973,0.408163265306122,0.552169857673616,0.0118292284444444,0.0110263865555556,-13.7576544955556,biotic,biotic
2975,0.408163265306122,0.555789191880205,0.0118673581111111,0.0110653377777778,-10.2737282127778,biotic,biotic
2976,0.408163265306122,0.553259672181557,0.0118484335555556,0.0110465864444444,-11.9509188055556,biotic,biotic
2978,0.408163265306122,0.552533512715665,0.0118524203333333,0.0110506354444444,-11.5887532188889,biotic,abiotic
2979,0.408163265306122,0.553259672181557,0.0118577593333333,0.0110549194444444,-11.2055678511111,biotic,biotic
2981,0.408163265306122,0.552896784080831,0.0118564454444444,0.0110535932222222,-11.3241921444444,biotic,biotic
2983,0.408163265306122,0.553259672181557,0.0118489591111111,0.0110470494444444,-11.9094940433333,biotic,biotic
2984,0.489795918367347,0.550345812791181,0.0118552973333333,0.0110532506666667,-11.3548480177778,biotic,biotic
2985,0.408163265306122,0.552896784080831,0.011856582,0.0110537495555556,-11.3102270755556,biotic,biotic
2986,0.408163265306122,0.552533512715665,0.0118301052222222,0.0110273217777778,-13.6740059855556,biotic,abiotic
2989,0.408163265306122,0.5543460410038,0.0118663748888889,0.0110643162222222,-10.3650724955556,biotic,biotic
2990,0.408163265306122,0.553622177429102,0.0118571137777778,0.011054282,-11.26257598,biotic,biotic
2992,0.408163265306122,0.553622177429102,0.0118494665555556,0.0110475527777778,-11.8644605866667,biotic,biotic
2993,0.408163265306122,0.552896784080831,0.0118293345555556,0.0110265584444444,-13.74228158,biotic,biotic
2995,0.408163265306122,0.552896784080831,0.011852938,0.0110511067777778,-11.5465919511111,biotic,abiotic
2996,0.408163265306122,0.552533512715665,0.0118498012222222,0.0110478378888889,-11.8389821211111,biotic,biotic
2998,0.346938775510204,0.555428975180965,0.0118666922222222,0.011064607,-10.3390775655556,biotic,abiotic
3001,0.408163265306122,0.553622177429102,0.0118304912222222,0.0110277056666667,-13.6396812322222,biotic,abiotic
3231,0.346938775510204,0.555068378071516,0.0118602631111111,0.0110572496666667,-10.9971480411111,abiotic,abiotic
3232,0.346938775510204,0.553984300233548,0.0118303366666667,0.0110273597777778,-13.6706194344444,abiotic,abiotic
3233,0.346938775510204,0.553984300233548,0.0118602937777778,0.0110572986666667,-10.9927729166667,abiotic,abiotic
3234,0.346938775510204,0.553984300233548,0.0118278873333333,0.0110248968888889,-13.8909242133333,abiotic,abiotic
3240,0.489795918367347,0.550426497381958,0.0118487942222222,0.0110469046666667,-11.9224540866667,abiotic,biotic
3241,0.346938775510204,0.553984300233548,0.011852008,0.0110501425555556,-11.6328333,abiotic,abiotic
3250,0.346938775510204,0.553984300233548,0.0118482067777778,0.0110462922222222,-11.9772244633333,abiotic,abiotic
3253,0.346938775510204,0.554707400147599,0.0118602278888889,0.0110572631111111,-10.99595332,abiotic,abiotic
3255,0.346938775510204,0.553984300233548,0.0118273685555556,0.0110244847777778,-13.9277736444444,abiotic,abiotic
3256,0.346938775510204,0.5543460410038,0.0118273745555556,0.0110244517777778,-13.9307178944444,abiotic,abiotic
3257,0.346938775510204,0.555068378071516,0.0118600406666667,0.0110570895555556,-11.0114897066667,abiotic,abiotic
3259,0.346938775510204,0.555068378071516,0.0118516535555556,0.011049768,-11.6663239122222,abiotic,abiotic
3260,0.346938775510204,0.555068378071516,0.0118485756666667,0.0110466858888889,-11.94201558,abiotic,abiotic
3261,0.346938775510204,0.553259672181557,0.0118299163333333,0.0110269561111111,-13.7067253755556,abiotic,abiotic
3263,0.346938775510204,0.555068378071516,0.0118489301111111,0.0110470082222222,-11.9132071366667,abiotic,abiotic
3265,0.346938775510204,0.555428975180965,0.0118606845555556,0.0110576964444444,-10.9572023466667,abiotic,abiotic
3267,0.346938775510204,0.555068378071516,0.0118601104444444,0.0110571412222222,-11.0068601133333,abiotic,abiotic
3268,0.346938775510204,0.553984300233548,0.0118297244444444,0.0110267751111111,-13.7229123266667,abiotic,abiotic
3269,0.346938775510204,0.553984300233548,0.0118270945555556,0.0110241517777778,-13.9575394433333,abiotic,abiotic
3272,0.387755102040816,0.553259672181557,0.0118538674444444,0.011051877,-11.4776983711111,abiotic,abiotic
3274,0.346938775510204,0.554707400147599,0.0118488913333333,0.0110469815555556,-11.9155694511111,abiotic,abiotic
4922,0.408163265306122,0.557942525955338,0.0118419486666667,0.0110392035555556,-12.6112682111111,abiotic,abiotic
4924,0.346938775510204,0.552533512715665,0.0118511284444444,0.011049191,-11.7179595922222,abiotic,abiotic
4929,0.408163265306122,0.556508485659345,0.0118392631111111,0.0110366181111111,-12.8425105255556,abiotic,abiotic
4932,0.408163265306122,0.556508485659345,0.0118390073333333,0.0110363896666667,-12.8629341011111,abiotic,abiotic
4933,0.408163265306122,0.552896784080831,0.0118519475555556,0.0110500006666667,-11.6455319177778,abiotic,abiotic
4935,0.408163265306122,0.55107658634389,0.0118344165555556,0.0110315665555556,-13.29435136,abiotic,abiotic
4936,0.408163265306122,0.55107658634389,0.0118304754444444,0.0110277117777778,-13.6391286377778,abiotic,abiotic
4940,0.408163265306122,0.557226262620073,0.0118445997777778,0.0110420183333333,-12.3595107522222,abiotic,abiotic
4941,0.408163265306122,0.552896784080831,0.0118537556666667,0.0110518794444444,-11.4774773222222,abiotic,biotic
4942,0.408163265306122,0.553259672181557,0.0118616865555556,0.0110588623333333,-10.8529056511111,abiotic,abiotic
4946,0.408163265306122,0.551805818541053,0.011830233,0.0110275352222222,-13.6549201588889,abiotic,abiotic
4947,0.408163265306122,0.556149028572344,0.0118388663333333,0.0110362887777778,-12.8719624033333,abiotic,abiotic
4948,0.408163265306122,0.552896784080831,0.0118580566666667,0.0110562015555556,-11.0908802077778,abiotic,biotic
4949,0.408163265306122,0.552533512715665,0.0118587756666667,0.0110568921111111,-11.0291228777778,abiotic,abiotic
4950,0.408163265306122,0.553259672181557,0.0118541057777778,0.0110522498888889,-11.4443450155556,abiotic,abiotic
4951,0.408163265306122,0.553259672181557,0.0118516975555556,0.0110497635555556,-11.6667473933333,abiotic,abiotic
