V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174
1,0,1,0.693564608716693,0.982007526231361,1,0.980256219383023,0.981248336158397,0.972398446756788,0.994047566164829,1,0.738891739556963,0.986269371281129,0.854751597147246,0.937742216771901,0.977008420918394,0.939072169795479,0.99854333498783,0.964145976908441,0.998528328856729,0.988112504732565,0.942146723943889,0.999229286976064,0.948925401741593,0.994907205889531,0.970324293925649,1,0.994785811766895,0.968484173992154,0.998551773316843,0.976040077263571,0.962420743394299,0.966417230884748,0.895376857370058,0.99851521818626,0.999220880286859,0.997678913698046,0.984437731427856,0.99693250811046,0.928338719758725,0.996199150062745,0.991732289547808,0.99713876380658,0.979916139599717,0.998523984435339,0.994177534206565,0.997734991429173,0.99930337852918,0.955041227590566,0.997905756863638,0.995674096516938,0.993798389799075,0.994633920638959,0.994674743431254,0.983952277265683,0.99627836446186,1,0.991669676915973,0.997823718856714,0.994143434260475,0.988412123228779,0.996427284041495,0.996256070719492,0.995359603731606,0.996482577915885,0.995485304256668,0.997130553625859,0.991914604551863,0.993340658443423,0.996311311663996,1,1,1,0.997814205036652,0.998547566408462,0.992123042389947,0.991189255566704,0.996370223957142,0.999245567602908,0.995015988907625,0.999284436402108,0.994074021893959,1,0.993310961716756,0.993993939667546,0.991150268438419,0.999203504453473,0.999280316567447,0.99392091631014,0.998602375277875,0.999250093632814,1,0.967427797033928,0.996289412064884,0.998523984435339,0.999240986607909,0.997014918713411,0.987586229264169,0.984273501746915,0.998584571123546,0.985228139470001,0.995735588247265,1,1,0.999281350967186,0.989288137898616,1,0.997888065224402,1,1,0.996442535860813,1,1,0.977183308312782,1,0.997179119909306,1,1,0.999281350967186,1,1,1,0.980083353741757,1,0.989713172460936,0.998501871817951,1,1,1,0.999255675371376,0.999271932921319,0.99373034571759,0.998539078840084,1,1,0.999271932921319,0.999236349640438,1,1,0.996396384676141,0.997071736026865,0.994746680358287,0.766130877682874,0.718388384750915,0.977885180809926,0.997710794403014,1,0.999266593227341,0.999261174631314,1,0.996222124764496,0.986236214354146,0.988674606469428,0.991926473411699,0.993541374840179,0.993210030866349,0.99923751418574,1,0.992854215718947,1,1,1,0.991189255566704,1,0.997130553625859,1,0.998510795897475,1,0.999289520336597,0.989817916568234,0.990380834502083,0.995649000392525,0.997830015525888,0.999255675371376,0.993640635023014
2,1,0,1,0.998504112849905,0.397849247414946,0.977252520465218,0.998423954891301,1,1,0.968777959406945,0.999255675371376,0.998523984435339,0.997163114851526,0.990936368904707,0.997826871752468,1,0.89011667342416,0.998443578823217,1,1,0.997762026288249,0.943272908297254,0.992313490948566,0.99841897134323,0.998469777221356,0.948683298050514,1,0.992301656094112,1,0.936872060444713,0.995409310111418,1,1,0.985567036333444,0.984829459843799,0.993710629432443,1,0.995505595230147,0.998479086572267,0.986656184847931,0.968339382355324,0.900654344204334,1,1,1,0.996918328573687,1,0.996923069629163,0.998467432049592,0.99848828333824,0.999204771245996,0.999234009845468,0.996327567470097,0.998539078840084,0.985697419136662,0.917913720165266,0.999272991543305,0.997839392506334,0.998426434902417,0.999225706426682,1,0.993589677525056,1,0.998476769869765,0.995478499822584,0.998528328856729,1,1,0.996406743680624,1,1,0.998483698900336,1,1,1,1,1,1,1,1,1,1,1,0.999260081289737,0.998528328856729,1,0.981277595128769,1,1,1,1,1,0.993158414535988,0.989271720300022,0.999204771245996,0.994730862841547,1,0.998553867645404,1,1,1,1,0.993410142389155,0.996170035717378,0.985140332605591,1,0.999284436402108,0.999231655668348,0.995505595230147,0.979469955294014,1,1,1,1,1,0.992619825334483,1,0.999283410871787,1,0.998495108251917,0.99549208824135,0.98492917008558,0.974641658404511,0.996996990216495,1,1,1,1,1,0.998564249080093,0.996244823387272,0.998528328856729,1,0.997041413634467,1,1,0.977680913978891,0.998570406702931,0.997785157856609,0.999257884869956,1,0.996865196048258,0.997748590014319,0.983928829758019,1,1,1,0.993788759783088,1,0.991744699295121,1,1,0.999254565680977,0.994754553557619,0.983118053063363,0.968967062600874,1,1,1,1,1,1,0.991926473411699,1,1,0.991369002944918,1,0.972114826494285,0.999258984707427,0.99854333498783,0.993137547598442,0.999268738476245,1,0.999229286976064
3,0.693564608716693,1,0,0.992976893195359,0.99929651767586,0.969892740210151,0.997762026288249,0.931934294385601,0.990250985823985,1,0.683494095881214,0.988376203305402,0.901905114643938,0.936182023758839,0.968245836551854,0.964976567218551,0.998472115226808,0.949314281358086,1,0.99350642483138,0.895433862326974,0.998433828326227,0.931008225414509,0.999235181532472,0.95303936102799,1,1,0.974412613098084,1,0.983192080250175,0.975974794442686,0.947511360236793,0.959951594802679,1,0.989791644741458,0.99617589421434,0.980789605175077,1,0.905752918579103,0.986608296712738,1,0.998517419496043,0.980345777933162,0.997179119909306,0.988897356186452,0.998416467731765,0.998455597533968,0.991631652042901,1,0.99851301032982,0.995985531765989,0.993788759783088,0.994194435700002,0.994698940319689,0.999234009845468,0.999178644625277,0.994020873158214,0.995409310111418,0.993548319743733,0.996239174341429,1,0.997019367438576,0.99039977773888,0.997179119909306,0.998479086572267,0.99242986842425,0.985029094991208,0.996996990216495,0.993532091676951,1,1,1,0.998469777221356,0.996086090656827,0.994770229369547,0.991694835428995,0.99851301032982,0.993127066322842,0.984321537348893,0.996482577915885,0.983469935866927,0.999220880286859,0.995571933965376,0.980013356849927,0.989678167485508,0.998364675929488,0.998385793943597,0.995505595230147,0.995636342818393,0.999271932921319,0.999250093632814,0.975864815806126,1,0.999256781762806,0.993817560523835,1,0.997768684463929,0.976269103051701,0.988394191060974,0.974354703692446,0.988005563014923,0.999250093632814,1,1,0.990977259145593,1,0.999234009845468,1,1,0.99708878567138,0.99845081239278,0.997569862750455,0.980950636343846,0.998483698900336,0.991694835428995,1,0.99071076688057,0.997791679306917,1,1,1,0.976722954609622,1,0.990595402356606,0.991541562795218,1,0.998479086572267,0.995565388348689,0.998481396238455,0.999234009845468,0.996794863550169,0.993710629432443,0.999306278098956,1,0.998433828326227,0.997631263945383,1,1,0.992217780545686,0.995381037662587,0.990250985823985,0.883541261792749,0.857069367807862,0.97253299863631,1,1,1,1,0.999254565680977,0.997593257641764,0.98962875835592,0.993807989999906,0.994056410948668,0.997080285739274,0.999229286976064,1,0.998485994589724,0.975264100203929,1,0.998467432049592,0.999238675184652,0.991769407360929,1,0.991137195940335,0.994714949784762,0.99922330085369,1,1,0.995597924334905,0.994690899159838,0.996899217341254,1,0.999248967224134,0.989337090575239
4,0.982007526231361,0.998504112849905,0.992976893195359,0,0.998555955925354,0.999220880286859,0.617914380653325,1,0.750886001490268,1,0.975482932483676,0.781684385768967,0.995686536326905,0.998521802591765,0.999279279185653,0.9913418283769,1,0.997807816143071,0.946099833582532,0.703247300146468,0.998528328856729,0.999257884869956,0.999231655668348,0.817672242560307,1,1,0.925247580949776,0.999272991543305,0.874321273885981,0.979529997457433,0.999263351649567,0.981582217460686,0.936371096812348,0.999269806401355,0.997109820545357,1,0.976875485558786,0.954452318603002,0.980819085778491,1,0.998499624061209,0.999284436402108,0.996316746232607,1,0.997014918713411,1,1,0.941081605687551,0.977043612576971,1,1,1,1,0.951259746281269,1,0.999264435354679,1,1,0.988793071620346,1,0.938083151964686,0.979363466129768,0.999260081289737,0.990521113087297,1,1,0.99582461641931,0.998523984435339,0.990493385649804,0.996913572885219,1,0.998501871817951,0.998497369549363,0.997252742061945,0.990506114168269,0.996294911306817,1,0.996978845059527,0.995686536326905,1,0.989891437214842,0.998549672913352,0.999295526506436,1,1,0.998455597533968,1,0.993370092648839,0.999289520336597,1,0.992932773634624,0.969338477492244,0.957427107756338,0.997817385538918,1,1,0.997014918713411,1,0.999248967224134,0.984582118032223,1,0.999290528466916,1,1,0.993883734673619,1,1,1,1,0.99365072945774,1,1,0.997612412032995,1,0.986135775700254,1,0.999258984707427,1,1,1,1,0.994143434260475,0.993864972769369,0.996946557757431,1,1,1,1,1,1,1,1,0.997814205036652,1,1,1,1,1,1,1,0.629762309583733,0.964341895082355,0.995444167650346,1,0.832737882501079,0.961068517126005,0.971401141671937,0.918864177800783,0.964103937798046,0.999274047091252,0.997714282725439,1,0.997109820545357,1,0.991031208965115,1,1,0.996996990216495,0.999262264746504,1,0.999267667422829,0.99848828333824,1,0.999289520336597,0.998506347187205,0.998506347187205,1,1,0.997058817159341,0.999261174631314,1,1,1,0.984059700412482
5,1,0.397849247414946,0.99929651767586,0.998555955925354,0,0.984344914774594,0.998448408685297,1,1,0.982061324177082,0.998551773316843,0.99930337852918,0.994482716517761,0.985783040065225,0.994219604754597,1,0.863842326443132,0.993850300406721,1,1,0.992841711837603,0.97191089017621,0.982607368881035,0.998547566408462,0.998497369549363,0.967906041546987,1,0.990905722265154,1,0.895835369029021,0.996244823387272,1,1,0.989255252297643,0.984179793264855,0.996343680627828,1,0.996338325308995,0.996396384676141,0.993158414535988,0.977862305882345,0.869760972828689,0.998549672913352,1,1,0.99498743710662,0.999263351649567,0.996974274456213,0.999283410871787,0.996332954279496,1,0.998570406702931,0.997105637923681,0.998621639592975,0.988337793572065,0.926296222251837,1,0.997105637923681,0.997050141065987,0.998510795897475,0.999251216667749,0.994778032192777,1,0.997885087516255,0.9963911827435,0.998551773316843,1,1,0.996502262805527,1,0.999260081289737,1,1,1,1,1,1,1,1,1,1,1,1,0.99854333498783,0.998584571123546,0.999219664336878,0.982141420525326,1,1,1,1,1,0.995717325074236,0.987604333141861,0.998398717947895,0.996380733692693,0.998474446098745,0.998547566408462,1,1,1,1,0.994002944418529,0.996327567470097,0.98897430474133,1,1,0.99924442754607,0.995008881494633,0.981466676030415,1,0.999240986607909,1,1,1,0.988217556263087,1,0.99929651767586,1,0.996305861034433,0.993447326591187,0.982968024928739,0.963064092950157,0.997037030524286,1,1,1,1,1,0.996432382491403,0.998553867645404,0.998549672913352,0.999287495456387,0.997001492500339,1,1,0.968708116757973,0.997771998717308,0.999254565680977,0.999263351649567,1,0.997817385538918,0.998526159847529,0.987314496989883,1,1,1,0.994334232022488,1,0.994801301582195,0.999235181532472,0.999279279185653,1,0.993513445061133,0.984437731427856,0.983068338247262,1,1,1,1,1,1,0.983216611908805,1,1,0.989980479450606,1,0.971050286575565,0.999285459001295,0.997724684196269,0.993189478078839,1,1,0.999285459001295
6,0.980256219383023,0.977252520465218,0.969892740210151,0.999220880286859,0.984344914774594,0,0.999230473144979,0.981334678628698,0.999175937231282,0.988772699540022,0.989449591819929,0.999261174631314,0.939384238792414,0.850196827604815,0.96750868696913,0.996359653006651,0.99845081239278,0.965008112762819,0.996918328573687,1,0.9569604765882,0.930325926282786,0.623115224658544,0.999262264746504,0.948109357106373,0.951228780813395,1,0.922990155974308,1,1,0.983738753675929,0.999235181532472,0.998485994589724,0.981393723514164,0.951072206069581,0.996726668795203,1,1,0.997600956160142,0.983192080250175,0.975531461009813,0.975380839034177,0.990811443753639,0.991657040412967,0.997775303139718,0.986608296712738,0.971031016274919,1,1,0.991004314944595,0.994264598335508,0.976971902017269,0.980196058819607,1,0.974374035935257,0.970476119938594,0.98593043544127,0.992193479350959,0.997675316499162,0.993817560523835,1,0.999208547561012,0.99851521818626,0.999236349640438,0.959714869937393,0.998495108251917,1,0.995519021518757,0.999222092453253,1,0.994592467121511,0.999228097144719,0.999218444585567,1,0.997710794403014,0.990291032223566,0.990479461009776,1,1,1,1,1,0.993532091676951,0.975363716726129,0.992107216766287,0.999198396664764,0.9640692036516,0.993640635023014,1,0.998423954891301,1,0.991031208965115,1,0.999214762344554,0.987965867337492,0.957833744898374,0.979114164385257,0.963624111659432,0.985500949371497,0.996923069629163,0.996946557757431,0.999229286976064,0.980612053770501,1,0.970375321310734,0.999224505505695,0.973089232736267,0.996951212416694,0.974562306626784,1,1,0.988932465532226,0.999194522624032,1,1,0.980848476029137,1,0.99256495262788,1,0.99159327843253,0.974878247218197,0.993063500088173,1,0.992486745563768,0.997671708133143,1,0.998465079678515,0.998380565738991,0.994633920638959,0.972000656416249,0.961387456933626,0.989545350148239,0.999218444585567,0.983248396204069,1,1,0.988041423414706,0.980700617062012,0.97410070344453,0.981952224435127,1,0.987361261442106,0.96142204271259,0.887010026316945,1,1,1,1,1,0.996889572558454,0.993589677525056,0.985006647306553,0.963915897922488,0.953315211149149,0.999261174631314,0.987240306682155,0.9970238029234,0.998300763428267,1,1,0.995532367828269,0.997748590014319,0.957754265499615,1,1,1,1,0.994869881879708,0.994674743431254,0.980085620414792,0.997608605584528,0.965167145652824,0.991057942653874,0.988571053224161
7,0.981248336158397,0.998423954891301,0.997762026288249,0.617914380653325,0.998448408685297,0.999230473144979,0,1,0.857213400977152,1,0.989902653949748,0.815542171973904,0.987096233585649,0.999288509337176,1,0.989022719084162,1,0.998483698900336,0.955024363575273,0.85485041426511,0.999255675371376,1,0.999197109465096,0.805810990341117,0.99924213706431,1,0.970624994467083,1,0.906608838830435,0.964432996307578,0.991926473411699,0.991016559467202,0.947027447620757,0.999257884869956,1,1,0.978347565357559,0.946484724300046,0.994437779663877,1,0.993930141190679,0.989222164150168,0.995308809156748,1,0.999246704224545,0.999234009845468,1,0.931439696746815,0.948449718507874,0.99845081239278,1,1,1,0.912737263323594,0.998485994589724,0.996874992358629,1,1,0.980871414338407,1,0.891802949086848,0.959822818294963,0.999220880286859,0.977851396416818,1,1,0.999252336344073,0.997765360335642,0.98952850725316,0.995859195463938,0.999217221015072,0.999224505505695,1,0.997050141065987,0.986052315536589,0.995604374325183,0.998499624061209,0.997150991361518,0.996946557757431,0.998501871817951,0.99555223888806,0.996955852906425,0.996996990216495,1,1,1,1,0.990908902214874,1,1,0.994738783488566,0.958855038613568,0.87831006565368,0.99196774141098,1,1,0.996164159242474,1,1,0.996941888863635,1,0.995188424369978,1,0.999235181532472,0.991842652027575,1,1,1,1,0.979439801918115,1,1,0.995180694841201,0.999228097144719,0.986236214354146,1,1,1,1,1,1,0.996923069629163,0.979551039956602,0.99922330085369,1,1,1,1,1,1,1,0.999240986607909,0.999266593227341,1,1,1,1,0.999218444585567,1,1,0.752907232606949,0.970939986922124,0.971603026796246,0.998481396238455,0.852718791595114,0.964332051594514,0.966247893896034,0.850994161656891,0.977611983784822,1,1,1,0.993106007425558,1,0.979195347932048,1,1,0.999194522624032,0.999255675371376,0.999251216667749,0.997788423389337,0.993902382172794,0.999228097144719,1,0.998508574859803,0.982689486636082,1,0.996396384676141,0.992932773634624,1,1,1,0.999282382397711,0.995444167650346
8,0.972398446756788,1,0.931934294385601,1,1,0.981334678628698,1,0,0.999231655668348,0.986311141412139,0.957671567637191,0.983975656449665,0.980286162791744,0.989181073695141,0.849499549461966,0.826077135306622,0.967856904687778,0.955860379317085,0.956533330172141,1,0.966535929198727,0.997710794403014,0.988430000066102,1,0.822452141843071,0.999224505505695,0.899921749336895,0.994770229369547,1,0.999318568915757,0.986735887414555,0.94837138507215,0.99854333498783,0.95845659956747,0.998504112849905,0.956395286023495,0.911131743587483,0.990063628612103,0.990711873053069,1,1,1,0.907074864675779,0.989227692986518,0.97036939691391,0.996987944965241,0.99924213706431,0.996222124764496,0.962922528667509,0.996380733692693,0.996110448115429,0.994236263232456,0.992779688949853,0.998532647778906,0.996992474391855,1,0.994318135830174,0.967658842962558,0.998551773316843,0.993240628502371,0.969338477492244,0.999247837426483,1,0.977601502651554,0.996193362658812,0.913756781813782,0.993250766524644,0.996406743680624,0.978914389155131,0.996960479291225,1,1,1,0.991985298828282,0.999302406611998,0.997807816143071,0.999279279185653,0.997728130348015,0.997778597774834,0.991780682528845,0.992020184392825,0.996937205669911,0.998564249080093,0.991541562795218,0.97831518015207,1,0.999245567602908,1,0.997179119909306,0.984228402177521,1,0.989425152215824,1,1,0.996199150062745,0.999265515875934,1,0.991329316095131,0.993541374840179,0.995870594885822,0.994029797388005,0.993330788876488,1,1,0.999277195424171,0.99924213706431,0.999270871211844,0.992831448793946,1,1,1,0.96287682646626,0.993063500088173,0.997854842005733,0.997934593319975,1,0.998619737092325,0.991176298082204,0.995558823351651,1,1,0.999288509337176,1,0.996946557757431,1,0.991369002944918,0.983395072320109,1,0.99924442754607,0.99854333498783,0.996432382491403,0.989876818148558,1,1,0.993596518992086,0.988700202228987,1,1,0.992418389500482,0.99927509957853,1,0.972698642540133,0.973908545027331,0.992100414872543,0.996146421118749,0.941396592786579,0.940965815886351,1,0.952976004580452,0.975396901957131,0.989102471648901,0.991416150214421,1,0.994907205889531,1,0.995478499822584,0.984022211037719,0.988130143220519,0.997758682277284,0.993330788876488,1,0.991329316095131,1,0.992452722307233,1,1,0.998052578482889,1,0.999283410871787,0.998610145263016,0.994047566164829,1,0.997854842005733,0.997854842005733
9,0.994047566164829,1,0.990250985823985,0.750886001490268,1,0.999175937231282,0.857213400977152,0.999231655668348,0,1,0.975174766216639,0.821005866551142,0.999285459001295,0.998490565177315,0.999254565680977,0.998476769869765,1,0.994143434260475,0.925708602198862,0.645599513763104,0.989369477872763,1,1,0.778012989717066,1,1,0.881917103688197,1,0.654497335500803,0.999290528466916,1,0.982501501578149,0.973117607648291,1,0.999236349640438,1,0.990102535247249,0.951571229534631,0.991436198872176,1,1,1,0.999246704224545,0.99924213706431,0.996889572558454,1,1,0.986393923832144,0.979674206012123,1,1,1,1,0.971256113483236,1,1,1,1,0.99131448214768,1,0.964847620575877,0.99447291464009,1,0.992475438613911,1,0.998519614288244,1,1,0.995444167650346,0.988645211811957,1,1,0.997748590014319,0.987785801211151,1,1,1,0.99401192220845,0.983986765467006,0.998495108251917,0.994706957157937,0.99549208824135,0.993320890011151,0.998398717947895,1,1,1,1,0.993948507213758,1,0.977880360780397,0.970459192741312,0.971008312455224,1,0.996978845059527,1,1,1,0.993106007425558,0.996233508273798,1,1,1,1,1,0.999236349640438,1,1,1,0.995437238555442,1,0.999195818124856,0.997541987270016,0.99924442754607,0.99013258595218,1,0.990950040103931,1,1,0.999231655668348,1,0.994567286153786,0.995241844535249,1,1,1,1,1,0.998383184067822,1,1,0.996187557603435,1,1,0.999235181532472,0.995301461869719,1,1,1,1,0.664752603954909,0.992932773634624,0.999211045242072,1,0.819126206353749,0.944556774365628,0.948100287321086,0.941506946989922,0.941832359165411,1,1,1,1,1,0.996874992358629,1,0.999277195424171,0.997728130348015,0.996079953550625,0.999268738476245,1,1,1,0.996978845059527,0.997696733985902,0.996042722901574,1,0.99848828333824,0.996996990216495,1,0.999260081289737,1,1,0.997731566076577
10,1,0.968777959406945,1,1,0.982061324177082,0.988772699540022,1,0.986311141412139,1,0,1,1,1,0.998497369549363,0.976086011803788,0.990802775957491,0.978019293843651,1,0.993677491937496,1,0.999258984707427,0.790072045118663,0.996146421118749,1,0.973699955352487,0.843858998404568,0.997005981304201,0.996316746232607,1,1,0.999246704224545,1,1,0.980906987128689,0.999271932921319,0.985747489577096,0.997054485501582,1,1,0.995519021518757,0.999289520336597,1,0.996300394272616,0.993846095403958,0.996116490183505,0.962907928645846,0.980550457022653,0.999228097144719,0.995692729440824,0.9613752775282,0.984507828018864,0.95716170869157,0.938872452190116,1,0.968245836551854,0.972464344312153,0.96399099692369,0.930588113136655,0.997807816143071,0.983688226505004,0.995539011213857,0.997751964185452,0.964246333862054,0.993695208601594,0.945821501792496,0.992452722307233,0.995617217767385,0.990057114414179,0.996946557757431,1,0.992608915685963,0.982554595854391,1,1,0.998564249080093,0.998499624061209,0.997113991095899,1,1,1,1,1,1,0.990654000565893,0.995172940438202,0.999238675184652,0.990624793027045,0.998562184734436,1,1,1,0.99924442754607,1,0.987075385679557,1,0.971950124812856,1,0.994227946012932,1,1,0.991914604551863,1,0.985161223180711,0.998485994589724,1,1,0.99356906512808,1,0.988059273321413,1,0.985909566364279,0.998393573259967,1,1,1,0.968531412678563,1,0.997738406452735,1,0.996894402438093,0.99126620826707,1,1,1,0.991818382418729,1,0.993769409748334,0.99927509957853,0.998508574859803,0.975506485486286,0.988130143220519,0.997682499781554,1,0.995256890256241,1,1,0.971256113483236,0.996396384676141,0.983962305264698,0.999250093632814,1,1,1,0.996322164811152,1,0.999231655668348,0.999182672523846,1,0.998508574859803,0.982880332610215,0.963567698340198,0.9640692036516,0.996941888863635,0.950586375786717,0.997028225226904,0.9092894087779,0.994600808983569,0.995381037662587,1,1,0.999256781762806,1,0.990177321402358,1,1,1,1,0.982942760585903,1,0.996946557757431,0.99856630750647,0.981171378522409,0.996845418007012,1
