Analysis,diff2_acf1,time_kl_shift,fluctanal_prop_r1,avg_rR45CO244CO2,avg_R45CO244CO2,sd_d18O13C,biotic,pred.abiotic,pred.biotic
2961,0.7343175, 133,0.4081633,1.178875,0.01184810,0.0031791663,biotic,0.108838698,0.891161302
2962,0.7091780, 133,0.4693878,1.180019,0.01185972,0.0098397383,biotic,0.265666359,0.734333641
2963,0.7348665, 133,0.4081633,1.178937,0.01184859,0.0027731752,biotic,0.142662430,0.857337570
2965,0.7241026, 133,0.4081633,1.176910,0.01183141,0.0030063026,biotic,0.125152907,0.874847093
2966,0.7023151, 133,0.4897959,1.179907,0.01185814,0.0078407979,biotic,0.266853500,0.733146500
2968,0.7374716, 133,0.4081633,1.179628,0.01185905,0.0041682662,biotic,0.196786974,0.803213026
2970,0.7216506, 133,0.4081633,1.177199,0.01183132,0.0034202077,biotic,0.216177108,0.783822892
2972,0.7370908,4038,0.4081633,1.178887,0.01185117,0.0020448320,biotic,0.279957436,0.720042564
2973,0.7241975, 133,0.4081633,1.176757,0.01182923,0.0025653659,biotic,0.091413400,0.908586600
2975,0.7724049, 991,0.4081633,1.180777,0.01186736,0.0100719560,biotic,0.444159665,0.555840335
2976,0.7319591, 133,0.4081633,1.178848,0.01184843,0.0027242025,biotic,0.119924337,0.880075663
2977,0.7237835, 133,0.4081633,1.177388,0.01183384,0.0021886709,biotic,0.209748433,0.790251567
2978,0.7340353, 133,0.4081633,1.179193,0.01185242,0.0036372747,biotic,0.104007544,0.895992456
2979,0.7335709, 133,0.4081633,1.179674,0.01185776,0.0029443367,biotic,0.119586090,0.880413910
2981,0.7323611,4038,0.4081633,1.179484,0.01185645,0.0027917005,biotic,0.172528886,0.827471114
2983,0.7318457,4038,0.4081633,1.178605,0.01184896,0.0032035052,biotic,0.205820768,0.794179232
2984,0.6960229,4038,0.4897959,1.179249,0.01185530,0.0067673466,biotic,0.364934423,0.635065577
2985,0.7317734, 133,0.4081633,1.179350,0.01185658,0.0022213386,biotic,0.138060761,0.861939239
2986,0.7277660,4038,0.4081633,1.176681,0.01183011,0.0044081532,biotic,0.257061884,0.742938116
2987,0.7262693, 133,0.4081633,1.176695,0.01182980,0.0029666785,biotic,0.088310066,0.911689934
2988,0.7328505, 133,0.4081633,1.179329,0.01185581,0.0025110172,biotic,0.113818531,0.886181469
2989,0.7604327, 133,0.4081633,1.180375,0.01186637,0.0113517121,biotic,0.319467867,0.680532133
2990,0.7345754, 133,0.4081633,1.179511,0.01185711,0.0040429822,biotic,0.085917027,0.914082973
2993,0.7192173, 133,0.4081633,1.176823,0.01182933,0.0040206059,biotic,0.163449456,0.836550544
2995,0.7355944,4038,0.4081633,1.179124,0.01185294,0.0042985640,biotic,0.189112964,0.810887036
2998,0.7537106, 133,0.3469388,1.180447,0.01186669,0.0102724239,biotic,0.742868988,0.257131012
3001,0.7297273,4038,0.4081633,1.176862,0.01183049,0.0023231587,biotic,0.279198132,0.720801868
3233,0.7345147, 133,0.3469388,1.179932,0.01186029,0.0030121250,abiotic,0.899744719,0.100255281
3234,0.7224837, 133,0.3469388,1.176711,0.01182789,0.0022800490,abiotic,0.816479680,0.183520320
3240,0.6878918, 133,0.4897959,1.178466,0.01184879,0.0034991473,abiotic,0.326688044,0.673311956
3241,0.7325028, 133,0.3469388,1.178833,0.01185201,0.0048357816,abiotic,0.870910289,0.129089711
3242,0.7292056, 133,0.3469388,1.178483,0.01184858,0.0020466550,abiotic,0.957765876,0.042234124
